scenario_id,layer,items_before,items_after,tokens_before,tokens_after,saved_tokens,elapsed_ms
tools=2_rows=400,compression:dedup_messages,7,7,112298,112298,0,44.174
tools=2_rows=400,clustering:repeated_tool_calls,7,7,112298,112298,0,43.924
tools=2_rows=400,compression:tool_results,7,7,112298,593,111705,22.427
tools=2_rows=400,reranking:composite,7,7,593,593,0,0.452
tools=2_rows=400,selection:token_budget,7,7,593,593,0,0.436
tools=2_rows=400,compression:dedup_messages,7,7,112294,112294,0,43.808
tools=2_rows=400,clustering:repeated_tool_calls,7,7,112294,112294,0,44.206
tools=2_rows=400,compression:tool_results,7,7,112294,593,111701,22.373
tools=2_rows=400,reranking:composite,7,7,593,593,0,0.426
tools=2_rows=400,selection:token_budget,7,7,593,593,0,0.43
tools=3_rows=10,compression:dedup_messages,9,9,4607,4607,0,1.869
tools=3_rows=10,clustering:repeated_tool_calls,9,9,4607,4607,0,1.877
tools=3_rows=10,compression:tool_results,9,9,4607,839,3768,1.15
tools=3_rows=10,reranking:composite,9,9,839,839,0,0.518
tools=3_rows=10,selection:token_budget,9,9,839,839,0,0.595
tools=3_rows=10,compression:dedup_messages,9,9,4607,4607,0,1.883
tools=3_rows=10,clustering:repeated_tool_calls,9,9,4607,4607,0,1.864
tools=3_rows=10,compression:tool_results,9,9,4607,839,3768,1.152
tools=3_rows=10,reranking:composite,9,9,839,839,0,0.541
tools=3_rows=10,selection:token_budget,9,9,839,839,0,0.59
tools=3_rows=10,compression:dedup_messages,9,9,4607,4607,0,1.93
tools=3_rows=10,clustering:repeated_tool_calls,9,9,4607,4607,0,1.871
tools=3_rows=10,compression:tool_results,9,9,4607,839,3768,1.173
tools=3_rows=10,reranking:composite,9,9,839,839,0,0.516
tools=3_rows=10,selection:token_budget,9,9,839,839,0,0.588
tools=3_rows=10,compression:dedup_messages,9,9,4609,4609,0,1.862
tools=3_rows=10,clustering:repeated_tool_calls,9,9,4609,4609,0,1.856
tools=3_rows=10,compression:tool_results,9,9,4609,841,3768,1.153
tools=3_rows=10,reranking:composite,9,9,841,841,0,0.531
tools=3_rows=10,selection:token_budget,9,9,841,841,0,0.603
tools=3_rows=10,compression:dedup_messages,9,9,4606,4606,0,1.852
tools=3_rows=10,clustering:repeated_tool_calls,9,9,4606,4606,0,1.873
tools=3_rows=10,compression:tool_results,9,9,4606,839,3767,1.148
tools=3_rows=10,reranking:composite,9,9,839,839,0,0.505
tools=3_rows=10,selection:token_budget,9,9,839,839,0,0.594
tools=3_rows=50,compression:dedup_messages,9,9,21408,21408,0,8.942
tools=3_rows=50,clustering:repeated_tool_calls,9,9,21408,21408,0,8.656
tools=3_rows=50,compression:tool_results,9,9,21408,841,20567,4.557
tools=3_rows=50,reranking:composite,9,9,841,841,0,0.641
tools=3_rows=50,selection:token_budget,9,9,841,841,0,0.643
tools=3_rows=50,compression:dedup_messages,9,9,21406,21406,0,8.29
tools=3_rows=50,clustering:repeated_tool_calls,9,9,21406,21406,0,8.559
tools=3_rows=50,compression:tool_results,9,9,21406,841,20565,4.512
tools=3_rows=50,reranking:composite,9,9,841,841,0,0.541
tools=3_rows=50,selection:token_budget,9,9,841,841,0,0.597
tools=3_rows=50,compression:dedup_messages,9,9,21410,21410,0,8.464
tools=3_rows=50,clustering:repeated_tool_calls,9,9,21410,21410,0,8.515
tools=3_rows=50,compression:tool_results,9,9,21410,842,20568,4.517
tools=3_rows=50,reranking:composite,9,9,842,842,0,0.527
tools=3_rows=50,selection:token_budget,9,9,842,842,0,0.607
tools=3_rows=50,compression:dedup_messages,9,9,21404,21404,0,8.614
tools=3_rows=50,clustering:repeated_tool_calls,9,9,21404,21404,0,8.488
tools=3_rows=50,compression:tool_results,9,9,21404,839,20565,5.242
tools=3_rows=50,reranking:composite,9,9,839,839,0,0.781
tools=3_rows=50,selection:token_budget,9,9,839,839,0,0.618
tools=3_rows=50,compression:dedup_messages,9,9,21411,21411,0,8.774
tools=3_rows=50,clustering:repeated_tool_calls,9,9,21411,21411,0,8.625
tools=3_rows=50,compression:tool_results,9,9,21411,844,20567,4.45
tools=3_rows=50,reranking:composite,9,9,844,844,0,0.559
tools=3_rows=50,selection:token_budget,9,9,844,844,0,0.606
tools=3_rows=150,compression:dedup_messages,9,9,63400,63400,0,25.439
tools=3_rows=150,clustering:repeated_tool_calls,9,9,63400,63400,0,25.89
tools=3_rows=150,compression:tool_results,9,9,63400,842,62558,13.336
tools=3_rows=150,reranking:composite,9,9,842,842,0,0.58
tools=3_rows=150,selection:token_budget,9,9,842,842,0,0.618
tools=3_rows=150,compression:dedup_messages,9,9,63406,63406,0,26.258
tools=3_rows=150,clustering:repeated_tool_calls,9,9,63406,63406,0,25.441
tools=3_rows=150,compression:tool_results,9,9,63406,845,62561,12.956
tools=3_rows=150,reranking:composite,9,9,845,845,0,0.571
